"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2660","removeProductFromCart","Surefire suite","2026-08-15","passed","2026-08-15","tests.ui.ExtendedTest","Surefire test","tests.ui.ExtendedTest","removeProductFromCart"
"","806","signUpExistingUser","Surefire suite","2026-08-15","passed","2026-08-15","tests.ui.ExtendedTest","Surefire test","tests.ui.ExtendedTest","signUpExistingUser"
"","1","BUG: порожній кошик дозволяє оформити замовлення (Amount: 0 USD)","Surefire suite","2026-08-15","unknown","2026-08-15","tests.ui.ExtendedTest","Surefire test","tests.ui.ExtendedTest","placeOrderWithEmptyCart_shouldBeBlocked"
"","792","signUpNewUser","Surefire suite","2026-08-15","passed","2026-08-15","tests.ui.CriticalTest","Surefire test","tests.ui.CriticalTest","signUpNewUser"
"","1373","loginExistingUser","Surefire suite","2026-08-15","passed","2026-08-15","tests.ui.CriticalTest","Surefire test","tests.ui.CriticalTest","loginExistingUser"
"","2646","addProductToCart","Surefire suite","2026-08-15","passed","2026-08-15","tests.ui.CriticalTest","Surefire test","tests.ui.CriticalTest","addProductToCart"
"","1340","placeOrder","Surefire suite","2026-08-15","passed","2026-08-15","tests.ui.CriticalTest","Surefire test","tests.ui.CriticalTest","placeOrder"
"","1902","placeOrderWithoutCredentials","Surefire suite","2026-08-15","passed","2026-08-15","tests.ui.ExtendedTest","Surefire test","tests.ui.ExtendedTest","placeOrderWithoutCredentials"
"","600","loginWithNonexistentUser","Surefire suite","2026-08-15","passed","2026-08-15","tests.ui.ExtendedTest","Surefire test","tests.ui.ExtendedTest","loginWithNonexistentUser"
"","734","checkHomeItemMatchesDetail","Surefire suite","2026-08-15","passed","2026-08-15","tests.ui.CriticalTest","Surefire test","tests.ui.CriticalTest","checkHomeItemMatchesDetail"
"","798","loginWithWrongPassword","Surefire suite","2026-08-15","passed","2026-08-15","tests.ui.ExtendedTest","Surefire test","tests.ui.ExtendedTest","loginWithWrongPassword"
